Gasage (yr BP),CO2 (ppmv),sigma mean CO2 (ppmv)
-510.0,3680.0,1.0
-480.0,3618.0,4.0
-463.0,3596.0,1.0
-444.0,3571.0,2.0
-431.0,3539.0,0.0
-423.0,3537.0,2.0
-411.0,3524.0,1.0
-400.0,3508.0,2.0
-394.0,3498.0,1.0
-390.0,3493.0,1.0
-381.0,3476.0,4.0
-372.0,3454.0,0.0
-366.0,3447.0,1.0
-361.0,3440.0,1.0
-358.0,3431.0,1.0
-349.0,3421.0,5.0
-331.0,3413.0,1.0
-330.0,3395.0,3.0
-291.0,3348.0,4.0
-268.0,3355.0,6.0
-267.0,3324.0,13.0
-256.0,3324.0,0.0
-241.0,3316.0,6.0
-221.0,3284.0,6.0
-220.0,3304.0,22.0
-209.0,3263.0,13.0
-207.0,3266.0,12.0
-206.0,3249.0,2.0
-202.0,3246.0,6.0
-194.0,3247.0,6.0
-190.0,3251.0,6.0
-188.0,3241.0,6.0
-185.0,3204.0,12.0
-168.0,3205.0,12.0
-165.0,3222.0,13.0
-159.0,3210.0,17.0
-153.0,3192.0,10.0
-152.0,3199.0,6.0
-136.0,3191.0,9.0
-132.0,3191.0,6.0
-126.0,3186.0,9.0
-125.0,3174.0,6.0
-124.0,3191.0,6.0
-123.0,3175.0,6.0
-117.0,3166.0,6.0
-106.0,3182.0,17.0
-103.0,3131.0,18.0
-91.0,3120.0,18.0
-86.0,3163.0,9.0
-81.0,3161.0,17.0
-79.0,3146.0,4.0
-73.0,3153.0,12.0
-72.0,3163.0,1.0
-71.0,3144.0,8.0
-62.0,3153.0,6.0
-48.0,3147.0,22.0
-38.0,3132.0,6.0
-37.0,3128.0,6.0
-36.0,3122.0,14.0
-24.0,3122.0,4.0
-3.0,3120.0,6.0
3.0,3137.0,22.0
12.0,3097.0,4.0
23.0,3116.0,22.0
33.0,3104.0,6.0
34.0,3129.0,22.0
44.0,3126.0,22.0
44.0,3120.0,21.0
46.0,3118.0,31.0
50.0,3104.0,26.0
52.0,3113.0,4.0
55.0,3102.0,6.0
64.0,3124.0,22.0
78.0,3119.0,28.0
80.0,3128.0,26.0
82.0,3124.0,22.0
92.0,3118.0,22.0
92.0,3077.0,12.0
100.0,3098.0,6.0
104.0,3110.0,6.0
108.0,3112.0,6.0
110.0,3105.0,22.0
118.0,3085.0,6.0
119.0,3119.0,13.0
121.0,3115.0,22.0
122.0,3123.0,1.0
131.0,3074.0,12.0
141.0,3093.0,29.0
143.0,3073.0,12.0
149.0,3063.0,12.0
161.0,3096.0,6.0
164.0,3071.0,26.0
172.0,3059.0,12.0
175.0,3083.0,22.0
177.0,3083.0,6.0
192.0,3057.0,15.0
206.0,3054.0,1.0
213.0,3058.0,6.0
215.0,3057.0,9.0
218.0,3057.0,6.0
222.0,3080.0,32.0
247.0,3050.0,6.0
253.0,3047.0,17.0
272.0,3062.0,38.0
275.0,3032.0,9.0
303.0,3019.0,12.0
313.0,3046.0,22.0
321.0,3039.0,7.0
342.0,3019.0,6.0
356.0,3007.0,24.0
375.0,3013.0,6.0
387.0,2993.0,17.0
389.0,2977.0,17.0
393.0,2981.0,26.0
402.0,2979.0,12.0
415.0,3015.0,22.0
442.0,2996.0,6.0
445.0,2973.0,6.0
446.0,2990.0,6.0
461.0,2960.0,9.0
483.0,2956.0,13.0
498.0,2942.0,12.0
511.0,2970.0,22.0
513.0,2953.0,6.0
562.0,2938.0,9.0
563.0,2932.0,17.0
569.0,2953.0,6.0
571.0,2949.0,17.0
576.0,2952.0,6.0
601.0,2909.0,12.0
610.0,2923.0,7.0
626.0,2943.0,6.0
644.0,2881.0,20.0
658.0,2892.0,6.0
662.0,2898.0,9.0
671.0,2925.0,10.0
700.0,2878.0,12.0
731.0,2893.0,6.0
763.0,2916.0,22.0
772.0,2867.0,13.0
800.0,2863.0,12.0
803.0,2880.0,6.0
816.0,2895.0,17.0
823.0,2880.0,4.0
833.0,2851.0,17.0
859.0,2867.0,12.0
870.0,2854.0,9.0
882.0,2872.0,6.0
912.0,2866.0,4.0
934.0,2832.0,12.0
953.0,2856.0,6.0
963.0,2881.0,22.0
989.0,2855.0,6.0
992.0,2888.0,4.0
997.0,2840.0,12.0
1027.0,2868.0,6.0
1041.0,2836.0,13.0
1053.0,2832.0,12.0
1055.0,2835.0,12.0
1067.0,2816.0,12.0
1092.0,2837.0,6.0
1133.0,2842.0,9.0
1168.0,2838.0,9.0
1171.0,2851.0,10.0
1231.0,2859.0,6.0
1253.0,2814.0,9.0
1363.0,2844.0,9.0
1507.0,2828.0,8.0
1535.0,2804.0,17.0
1541.0,2823.0,6.0
1559.0,2816.0,9.0
1697.0,2731.0,4.0
1705.0,2802.0,6.0
1765.0,2779.0,9.0
1863.0,2764.0,9.0
1871.0,2772.0,6.0
1979.0,2780.0,6.0
1981.0,2765.0,9.0
2009.0,2776.0,6.0
2087.0,2768.0,9.0
2161.0,2783.0,9.0
2270.0,2770.0,9.0
2271.0,2783.0,13.0
2559.0,2774.0,6.0
2603.0,2763.0,9.0
2681.0,2767.0,6.0
3009.0,2780.0,6.0
3102.0,2767.0,9.0
3214.0,2738.0,4.0
3405.0,2711.0,4.0
3466.0,2751.0,6.0
3590.0,2794.0,10.0
3618.0,2811.0,9.0
3770.0,2826.0,6.0
3901.0,2818.0,9.0
4004.0,2835.0,13.0
4203.0,2839.0,6.0
4485.0,2831.0,6.0
4806.0,2803.0,13.0
5008.0,2822.0,10.0
5212.0,2797.0,4.0
5391.0,2797.0,9.0
5597.0,2809.0,6.0
6012.0,2784.0,4.0
6199.0,2841.0,6.0
6426.0,2816.0,9.0
6718.0,2784.0,4.0
6905.0,2822.0,9.0
6987.0,2824.0,6.0
7390.0,2837.0,9.0
7502.0,2845.0,6.0
7840.0,2840.0,14.0
8037.0,2845.0,13.0
8344.0,2828.0,9.0
8506.0,2831.0,6.0
8798.0,2828.0,9.0
9008.0,2810.0,6.0
9099.0,2809.0,9.0
9307.0,2801.0,6.0
9324.0,2798.0,13.0
9673.0,2787.0,14.0
9923.0,2774.0,4.0
10359.0,2801.0,22.0
10746.0,2794.0,14.0
11277.0,2786.0,14.0
11569.0,2797.0,22.0
11877.0,2793.0,22.0
12196.0,2800.0,4.0
12488.0,2771.0,4.0
12808.0,2785.0,4.0
13130.0,2796.0,4.0
13355.0,2779.0,4.0
13676.0,2762.0,4.0
13925.0,2785.0,38.0
13984.0,2766.0,4.0
14320.0,2768.0,9.0
14619.0,2771.0,4.0
15131.0,2800.0,4.0
15436.0,2791.0,4.0
15658.0,2772.0,4.0
15927.0,2778.0,4.0
16325.0,2817.0,4.0
16544.0,2809.0,4.0
16756.0,2802.0,26.0
16839.0,2783.0,6.0
17094.0,2802.0,6.0
17755.0,2776.0,4.0
17965.0,2781.0,4.0
18140.0,2781.0,10.0
18460.0,2775.0,10.0
18940.0,2774.0,10.0
19200.0,2779.0,10.0
19490.0,2767.0,10.0
19997.0,2780.0,12.0
20934.0,2769.0,7.0
22342.0,2767.0,8.0
22655.0,2767.0,8.0
24143.0,2776.0,13.0
25261.0,2779.0,5.0
26280.0,2739.0,11.0
27085.0,2789.0,6.0
28018.0,2753.0,16.0
29045.0,2747.0,12.0
29488.0,2763.0,9.0
30566.0,2746.0,8.0
32557.0,2763.0,15.0
32837.0,2731.0,11.0
34311.0,2740.0,3.0
35283.0,2750.0,6.0
36445.0,2734.0,13.0
36934.0,2730.0,8.0
38069.0,2715.0,10.0
38562.0,2754.0,5.0
39690.0,2749.0,13.0
41087.0,2717.0,10.0
42058.0,2716.0,7.0
42751.0,2728.0,8.0
43428.0,2715.0,9.0
44944.0,2711.0,8.0
45928.0,2691.0,6.0
46475.0,2698.0,10.0
47730.0,2715.0,8.0
49212.0,2707.0,5.0
49816.0,2693.0,10.0
50868.0,2686.0,11.0
52186.0,2698.0,12.0
53112.0,2676.0,6.0
53575.0,2653.0,17.0
55333.0,2652.0,8.0
55813.0,2676.0,20.0
57576.0,2659.0,9.0
58523.0,2655.0,8.0
59341.0,2607.0,16.0
59994.0,2667.0,9.0
60898.0,2655.0,8.0
63020.0,2632.0,6.0
63372.0,2627.0,9.0
64012.0,2612.0,7.0
65723.0,2611.0,4.0
66825.0,2594.0,6.0
67697.0,2621.0,9.0
68803.0,2629.0,5.0
69701.0,2581.0,14.0
70383.0,2576.0,9.0
71881.0,2623.0,9.0
72740.0,2630.0,7.0
74053.0,2607.0,6.0
74979.0,2584.0,8.0
76614.0,2601.0,6.0
77196.0,2604.0,4.0
78602.0,2597.0,9.0
79264.0,2592.0,7.0
79759.0,2608.0,14.0
81163.0,2596.0,5.0
81948.0,2593.0,9.0
83519.0,2583.0,12.0
84597.0,2613.0,9.0
85466.0,2607.0,4.0
87107.0,2618.0,10.0
87813.0,2590.0,11.0
89119.0,2609.0,7.0
89930.0,2604.0,6.0
90602.0,2593.0,10.0
91430.0,2620.0,8.0
92953.0,2637.0,12.0
93611.0,2638.0,8.0
94367.0,2652.0,9.0
95181.0,2606.0,17.0
95244.0,2609.0,6.0
95559.0,2630.0,4.0
95733.0,2638.0,12.0
99010.0,2644.0,4.0
99926.0,2642.0,9.0
101345.0,2640.0,3.0
101930.0,2634.0,1.0
102996.0,2657.0,5.0
103666.0,2649.0,4.0
105056.0,2675.0,4.0
106805.0,2669.0,6.0
108018.0,2660.0,11.0
108357.0,2651.0,16.0
109545.0,2676.0,7.0
110896.0,2648.0,6.0
111611.0,2648.0,4.0
111859.0,2650.0,8.0
112006.0,2653.0,4.0
112566.0,2644.0,15.0
113170.0,2641.0,7.0
113394.0,2648.0,17.0
113832.0,2648.0,13.0
113999.0,2682.0,25.0
114175.0,2645.0,20.0
114359.0,2701.0,21.0
114531.0,2689.0,7.0
114728.0,2691.0,25.0
114904.0,2672.0,9.0
115072.0,2677.0,12.0
115239.0,2695.0,9.0
115436.0,2669.0,7.0
115596.0,2627.0,14.0
115764.0,2671.0,5.0
115922.0,2607.0,3.0
116113.0,2613.0,15.0
116290.0,2662.0,24.0
116479.0,2571.0,13.0
116645.0,2476.0,3.0
116828.0,2546.0,9.0
117014.0,2540.0,15.0
