Statistic Label,Year,Month,UNIT,VALUE
Mean Temperature,1958,1,Degrees C,"4,7"
Mean Temperature,1958,2,Degrees C,"5,5"
Mean Temperature,1958,3,Degrees C,"4,5"
Mean Temperature,1958,4,Degrees C,"7,9"
Mean Temperature,1958,5,Degrees C,"10,1"
Mean Temperature,1958,6,Degrees C,13
Mean Temperature,1958,7,Degrees C,"14,7"
Mean Temperature,1958,8,Degrees C,"14,9"
Mean Temperature,1958,9,Degrees C,"14,4"
Mean Temperature,1958,10,Degrees C,"10,8"
Mean Temperature,1958,11,Degrees C,"8,2"
Mean Temperature,1958,12,Degrees C,"5,4"
Mean Temperature,1959,1,Degrees C,"3,1"
Mean Temperature,1959,2,Degrees C,"6,5"
Mean Temperature,1959,3,Degrees C,"7,50"
Mean Temperature,1959,4,Degrees C,"8,70"
Mean Temperature,1959,5,Degrees C,"11,60"
Mean Temperature,1959,6,Degrees C,"14,10"
Mean Temperature,1959,7,Degrees C,"16,00"
Mean Temperature,1959,8,Degrees C,"16,10"
Mean Temperature,1959,9,Degrees C,"14,40"
Mean Temperature,1959,10,Degrees C,"11,90"
Mean Temperature,1959,11,Degrees C,"7,50"
Mean Temperature,1959,12,Degrees C,"6,20"
Mean Temperature,1960,1,Degrees C,"5,20"
Mean Temperature,1960,2,Degrees C,"4,10"
Mean Temperature,1960,3,Degrees C,"6,70"
Mean Temperature,1960,4,Degrees C,"9,00"
Mean Temperature,1960,5,Degrees C,"12,20"
Mean Temperature,1960,6,Degrees C,"14,90"
Mean Temperature,1960,7,Degrees C,"14,80"
Mean Temperature,1960,8,Degrees C,"14,20"
Mean Temperature,1960,9,Degrees C,"12,50"
Mean Temperature,1960,10,Degrees C,"10,20"
Mean Temperature,1960,11,Degrees C,"7,40"
Mean Temperature,1960,12,Degrees C,"4,20"
Mean Temperature,1961,1,Degrees C,"4,60"
Mean Temperature,1961,2,Degrees C,"7,90"
Mean Temperature,1961,3,Degrees C,"8,90"
Mean Temperature,1961,4,Degrees C,"9,40"
Mean Temperature,1961,5,Degrees C,"10,90"
Mean Temperature,1961,6,Degrees C,"13,60"
Mean Temperature,1961,7,Degrees C,"14,20"
Mean Temperature,1961,8,Degrees C,"14,50"
Mean Temperature,1961,9,Degrees C,"13,80"
Mean Temperature,1961,10,Degrees C,"9,80"
Mean Temperature,1961,11,Degrees C,"7,00"
Mean Temperature,1961,12,Degrees C,"4,20"
Mean Temperature,1962,1,Degrees C,"5,10"
Mean Temperature,1962,2,Degrees C,"5,50"
Mean Temperature,1962,3,Degrees C,"3,70"
Mean Temperature,1962,4,Degrees C,"7,60"
Mean Temperature,1962,5,Degrees C,"10,10"
Mean Temperature,1962,6,Degrees C,"12,70"
Mean Temperature,1962,7,Degrees C,"13,90"
Mean Temperature,1962,8,Degrees C,"13,80"
Mean Temperature,1962,9,Degrees C,"12,00"
Mean Temperature,1962,10,Degrees C,"10,70"
Mean Temperature,1962,11,Degrees C,"6,60"
Mean Temperature,1962,12,Degrees C,"4,90"
Mean Temperature,1963,1,Degrees C,"0,90"
Mean Temperature,1963,2,Degrees C,"2,00"
Mean Temperature,1963,3,Degrees C,"6,70"
Mean Temperature,1963,4,Degrees C,"8,10"
Mean Temperature,1963,5,Degrees C,"9,90"
Mean Temperature,1963,6,Degrees C,"13,40"
Mean Temperature,1963,7,Degrees C,"14,10"
Mean Temperature,1963,8,Degrees C,"13,90"
Mean Temperature,1963,9,Degrees C,"12,20"
Mean Temperature,1963,10,Degrees C,"11,10"
Mean Temperature,1963,11,Degrees C,"7,70"
