bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta
10.0,0.0,-500.0,-550.0,,2183.0,31.0
20.0,6.0,-436.0,-505.0,,2183.0,31.0
30.0,11.0,-374.0,-460.0,,2183.0,31.0
40.0,17.0,-316.0,-415.0,,2183.0,31.0
50.0,22.0,-246.0,-345.0,,2183.0,31.0
60.0,28.0,-178.0,-275.0,,2183.0,31.0
70.0,33.0,-110.0,-205.0,,2183.0,31.0
80.0,39.0,-33.0,-122.0,,2183.0,31.0
90.0,44.0,54.0,-40.0,,2183.0,31.0
100.0,50.0,135.0,43.0,,2183.0,31.0
110.0,55.0,223.0,132.0,,2183.0,31.0
120.0,61.0,307.0,221.0,,2183.0,31.0
130.0,66.0,385.0,311.0,-3909.0,2183.0,31.0
140.0,72.0,470.0,397.0,-3851.0,2192.0,31.0
150.0,77.0,552.0,484.0,-3778.0,2204.0,30.0
160.0,83.0,644.0,571.0,-3941.0,2177.0,30.0
170.0,88.0,731.0,664.0,-3987.0,2170.0,30.0
180.0,94.0,817.0,757.0,-3959.0,2174.0,30.0
190.0,99.0,904.0,850.0,-3959.0,2174.0,29.0
200.0,105.0,997.0,949.0,-3993.0,2169.0,27.0
210.0,110.0,1098.0,1047.0,-3914.0,2182.0,27.0
220.0,116.0,1192.0,1145.0,-3995.0,2168.0,27.0
230.0,121.0,1294.0,1247.0,-4029.0,2163.0,27.0
240.0,127.0,1400.0,1348.0,-3939.0,2178.0,27.0
250.0,132.0,1501.0,1450.0,-3986.0,2170.0,27.0
260.0,138.0,1607.0,1554.0,-3898.0,2184.0,27.0
270.0,143.0,1712.0,1659.0,-3945.0,2177.0,27.0
280.0,149.0,1817.0,1763.0,-4005.0,2167.0,27.0
290.0,154.0,1918.0,1867.0,-4036.0,2162.0,27.0
300.0,160.0,2023.0,1971.0,-3931.0,2179.0,27.0
310.0,165.0,2125.0,2075.0,-4109.0,2150.0,27.0
320.0,171.0,2235.0,2184.0,-3936.0,2178.0,28.0
330.0,176.0,2340.0,2292.0,-3911.0,2182.0,28.0
340.0,182.0,2448.0,2400.0,-3919.0,2181.0,28.0
350.0,187.0,2557.0,2514.0,-3963.0,2174.0,27.0
360.0,193.0,2669.0,2628.0,-3970.0,2173.0,27.0
370.0,198.0,2780.0,2742.0,-4047.0,2160.0,27.0
380.0,204.0,2894.0,2862.0,-3982.0,2171.0,27.0
390.0,209.0,3012.0,2981.0,-3952.0,2176.0,27.0
400.0,215.0,3125.0,3101.0,-4035.0,2162.0,27.0
410.0,220.0,3239.0,3223.0,-3986.0,2170.0,27.0
420.0,226.0,3356.0,3345.0,-3997.0,2168.0,28.0
430.0,231.0,3469.0,3466.0,-3960.0,2174.0,27.0
440.0,237.0,3586.0,3594.0,-4002.0,2167.0,27.0
450.0,242.0,3710.0,3721.0,-4016.0,2165.0,27.0
460.0,248.0,3829.0,3849.0,-4054.0,2159.0,27.0
470.0,253.0,3952.0,3978.0,-3990.0,2169.0,27.0
480.0,259.0,4073.0,4108.0,-3969.0,2173.0,28.0
490.0,264.0,4187.0,4237.0,-3949.0,2176.0,28.0
500.0,270.0,4304.0,4364.0,-4066.0,2157.0,28.0
510.0,275.0,4426.0,4490.0,-3952.0,2176.0,28.0
520.0,281.0,4543.0,4617.0,-3953.0,2175.0,29.0
530.0,286.0,4663.0,4745.0,-3995.0,2168.0,29.0
540.0,292.0,4783.0,4874.0,-4010.0,2166.0,28.0
550.0,297.0,4904.0,5002.0,-3936.0,2178.0,28.0
560.0,303.0,5031.0,5134.0,-4104.0,2150.0,26.0
570.0,308.0,5160.0,5266.0,-4013.0,2165.0,26.0
580.0,314.0,5295.0,5399.0,-3983.0,2170.0,26.0
590.0,319.0,5426.0,5531.0,-3885.0,2187.0,27.0
600.0,325.0,5558.0,5663.0,-3919.0,2181.0,28.0
610.0,330.0,5683.0,5795.0,-4008.0,2166.0,28.0
620.0,336.0,5809.0,5924.0,-3877.0,2188.0,28.0
630.0,341.0,5936.0,6053.0,-4014.0,2165.0,28.0
640.0,347.0,6062.0,6182.0,-4010.0,2166.0,28.0
650.0,352.0,6191.0,6307.0,-3873.0,2189.0,28.0
660.0,358.0,6317.0,6433.0,-3902.0,2184.0,28.0
670.0,363.0,6445.0,6558.0,-3945.0,2177.0,28.0
680.0,369.0,6579.0,6694.0,-4019.0,2164.0,25.0
690.0,374.0,6721.0,6831.0,-3998.0,2168.0,26.0
700.0,380.0,6866.0,6967.0,-3999.0,2168.0,26.0
710.0,385.0,7007.0,7112.0,-3991.0,2169.0,26.0
720.0,391.0,7152.0,7258.0,-4019.0,2164.0,25.0
730.0,396.0,7296.0,7403.0,-4048.0,2160.0,25.0
740.0,402.0,7446.0,7549.0,-4016.0,2165.0,25.0
750.0,407.0,7592.0,7695.0,-3967.0,2173.0,28.0
760.0,413.0,7724.0,7841.0,-3971.0,2172.0,28.0
770.0,418.0,7859.0,7976.0,-3942.0,2177.0,28.0
780.0,424.0,7990.0,8112.0,-3959.0,2174.0,29.0
790.0,429.0,8121.0,8248.0,-3927.0,2180.0,31.0
800.0,435.0,8244.0,8376.0,-3904.0,2183.0,31.0
810.0,440.0,8366.0,8503.0,-3890.0,2186.0,31.0
820.0,446.0,8488.0,8631.0,-3870.0,2189.0,31.0
830.0,451.0,8615.0,8767.0,-4023.0,2164.0,28.0
840.0,457.0,8754.0,8903.0,-3925.0,2180.0,28.0
850.0,462.0,8893.0,9039.0,-4046.0,2160.0,28.0
860.0,468.0,9036.0,9186.0,-3905.0,2183.0,27.0
870.0,473.0,9179.0,9332.0,-4023.0,2164.0,27.0
880.0,479.0,9323.0,9478.0,-4001.0,2167.0,27.0
890.0,484.0,9470.0,9627.0,-3994.0,2169.0,27.0
900.0,490.0,9610.0,9776.0,-4006.0,2167.0,28.0
910.0,495.0,9754.0,9926.0,-3938.0,2178.0,28.0
920.0,501.0,9899.0,10074.0,-3985.0,2170.0,28.0
930.0,506.0,10043.0,10222.0,-3987.0,2170.0,28.0
940.0,512.0,10185.0,10370.0,-4018.0,2165.0,29.0
950.0,517.0,10323.0,10515.0,-3952.0,2176.0,29.0
960.0,523.0,10467.0,10659.0,-3901.0,2184.0,29.0
970.0,528.0,10609.0,10803.0,-3939.0,2178.0,28.0
980.0,534.0,10752.0,10951.0,-4006.0,2167.0,28.0
990.0,539.0,10895.0,11099.0,-4009.0,2166.0,28.0
1000.0,545.0,11041.0,11247.0,-3917.0,2181.0,29.0
1010.0,550.0,11182.0,11396.0,-3993.0,2169.0,30.0
1020.0,556.0,11325.0,11545.0,-3867.0,2190.0,30.0
1030.0,561.0,11464.0,11694.0,-4015.0,2165.0,30.0
1040.0,567.0,11602.0,11837.0,-3981.0,2171.0,30.0
1050.0,572.0,11738.0,11979.0,-3904.0,2183.0,30.0
1060.0,578.0,11877.0,12121.0,-3898.0,2184.0,31.0
1070.0,583.0,12013.0,12265.0,-3907.0,2183.0,30.0
1080.0,589.0,12151.0,12408.0,-3993.0,2169.0,30.0
1090.0,594.0,12293.0,12551.0,-3925.0,2180.0,30.0
1100.0,600.0,12434.0,12702.0,-3938.0,2178.0,30.0
1110.0,605.0,12581.0,12852.0,-3944.0,2177.0,29.0
1120.0,611.0,12726.0,13003.0,-3970.0,2173.0,29.0
1130.0,616.0,12872.0,13154.0,-3978.0,2171.0,29.0
1140.0,622.0,13020.0,13305.0,-3886.0,2186.0,31.0
1150.0,627.0,13158.0,13456.0,-3947.0,2176.0,31.0
1160.0,633.0,13302.0,13605.0,-3906.0,2183.0,31.0
1170.0,638.0,13442.0,13754.0,-3970.0,2173.0,31.0
1180.0,644.0,13578.0,13903.0,-3866.0,2190.0,31.0
1190.0,649.0,13718.0,14048.0,-3906.0,2183.0,31.0
1200.0,655.0,13858.0,14194.0,-3970.0,2173.0,31.0
1210.0,660.0,13998.0,14339.0,-3961.0,2174.0,28.0
1220.0,666.0,14156.0,14502.0,-3989.0,2169.0,28.0
1230.0,671.0,14315.0,14665.0,-4002.0,2167.0,28.0
1240.0,677.0,14475.0,14827.0,-3987.0,2170.0,29.0
1250.0,682.0,14626.0,14988.0,-3897.0,2185.0,29.0
1260.0,688.0,14781.0,15148.0,-4016.0,2165.0,29.0
1270.0,693.0,14936.0,15309.0,-3979.0,2171.0,29.0
1280.0,699.0,15092.0,15469.0,-3992.0,2169.0,29.0
1290.0,704.0,15248.0,15629.0,-3976.0,2172.0,29.0
1300.0,710.0,15405.0,15789.0,-3905.0,2183.0,29.0
1310.0,715.0,15564.0,15951.0,-4015.0,2165.0,29.0
1320.0,721.0,15719.0,16113.0,-3957.0,2175.0,29.0
1330.0,726.0,15878.0,16275.0,-3945.0,2177.0,28.0
1340.0,732.0,16039.0,16443.0,-4029.0,2163.0,28.0
1350.0,737.0,16205.0,16610.0,-4010.0,2166.0,27.0
1360.0,743.0,16372.0,16778.0,-3915.0,2182.0,28.0
