temperature,years_temp,co2_levels,years_co2
,,,
,-55.0,368.02,-51.03
,-50.51333333,361.78,-48.0
,-46.02666667,359.65,-46.28
,-41.54,357.11,-44.41
,-34.51666667,353.95,-43.08
,-27.49333333,353.72,-42.31
,-20.47,352.42,-41.13
,-12.21333333,350.81,-39.97
,-3.956666667,349.8,-39.41
,4.3,349.28,-38.97
,13.22,347.6,-38.07
,22.14,345.44,-37.21
,31.06,344.72,-36.62
,39.72333333,343.97,-36.14
,48.38666667,343.11,-35.76
,57.05,342.05,-34.92
,66.38,341.33,-33.08
,75.71,339.46,-33.03
,85.04,334.85,-29.14
,94.86333333,335.55,-26.8
,104.6866667,332.37,-26.67
,114.51,332.37,-25.57
,124.6733333,331.55,-24.13
,134.8366667,328.42,-22.09
,145.0,330.35,-22.04
,155.4433333,326.31,-20.87
,165.8866667,326.65,-20.66
,176.33,324.91,-20.64
,186.7333333,324.56,-20.22
,197.1366667,324.71,-19.42
,207.54,325.08,-18.98
,218.3533333,324.09,-18.81
,229.1666667,320.38,-18.54
,239.98,320.49,-16.79
,251.3866667,322.17,-16.55
,262.7933333,320.98,-15.87
,274.2,319.2,-15.3
,286.1633333,319.89,-15.23
,298.1266667,319.12,-13.56
,310.09,319.07,-13.2
,322.2733333,318.61,-12.62
,334.4566667,317.45,-12.54
,346.64,319.14,-12.4
,359.39,317.52,-12.32
,372.14,316.59,-11.72
,384.89,318.21,-10.57
,397.84,313.09,-10.31
,410.79,311.98,-9.09
,423.74,316.33,-8.56
,436.3933333,316.1,-8.1
,449.0466667,314.57,-7.87
,461.7,315.27,-7.26
,474.5333333,316.33,-7.2
,487.3666667,314.44,-7.1
,500.2,315.34,-6.16
,513.42,314.71,-4.8
,526.64,313.17,-3.79
,539.86,312.8,-3.71
,553.08,312.22,-3.56
218.3,566.3,312.18,-2.38
218.3,579.52,312.0,-0.25
218.3,592.3966667,313.66,0.33
218.3,605.2733333,309.69,1.23
218.3,618.15,311.57,2.29
218.3,630.7,310.36,3.34
218.3,643.25,312.87,3.37
218.3,655.8,312.56,4.38
218.3,669.4466667,311.97,4.44
218.3,683.0933333,311.81,4.61
218.3,696.74,310.44,5.04
218.3,711.2466667,311.28,5.24
218.3,725.7533333,310.22,5.49
219.2,740.26,312.36,6.43
220.4,754.86,311.88,7.79
217.7,769.46,312.84,7.96
217.0,784.06,312.39,8.22
217.4,797.64,311.8,9.16
217.4,811.22,307.74,9.25
216.9,824.8,309.8,10.03
218.2,837.55,310.95,10.41
216.8,850.3,311.21,10.78
216.3,863.05,310.46,11.03
217.8,876.68,308.48,11.84
217.0,890.31,311.94,11.87
218.4,903.94,311.52,12.13
217.7,918.55,312.33,12.23
216.7,933.16,307.41,13.14
216.2,947.77,309.34,14.13
217.9,962.7,307.26,14.29
215.0,977.63,306.32,14.94
217.8,992.56,309.63,16.12
218.2,1007.383333,307.08,16.41
218.1,1022.206667,305.94,17.22
217.4,1037.03,308.28,17.46
217.3,1051.463333,308.26,17.71
216.0,1065.896667,305.74,19.17
217.1,1080.33,305.38,20.61
217.6,1095.11,305.78,21.26
216.2,1109.89,305.71,21.46
217.0,1124.67,305.67,21.84
216.8,1139.59,308.02,22.2
217.4,1154.51,304.97,24.69
216.7,1169.43,304.72,25.25
216.5,1183.663333,306.2,27.16
215.9,1197.896667,303.18,27.49
216.9,1212.13,301.88,30.29
217.3,1226.456667,304.61,31.33
217.6,1240.783333,303.85,32.13
215.7,1255.11,301.92,34.21
217.6,1270.176667,300.7,35.61
217.5,1285.243333,301.3,37.48
216.8,1300.31,299.26,38.71
216.6,1315.393333,297.73,38.9
217.8,1330.476667,298.11,39.28
215.0,1345.56,297.87,40.24
216.5,1360.473333,301.5,41.48
217.0,1375.386667,299.63,44.23
218.7,1390.3,297.33,44.46
218.1,1404.833333,299.02,44.65
216.6,1419.366667,295.99,46.09
218.8,1433.9,295.61,48.3
216.5,1450.18,294.22,49.82
216.6,1466.46,297.05,51.06
218.9,1482.74,295.28,51.34
218.4,1498.793333,293.81,56.24
217.7,1514.846667,293.17,56.34
216.4,1530.9,295.32,56.94
216.8,1546.89,294.86,57.12
216.8,1562.88,295.17,57.61
216.9,1578.87,290.92,60.13
216.4,1595.08,292.34,60.99
216.0,1611.29,294.34,62.61
216.5,1627.5,288.12,64.4
217.3,1644.266667,289.23,65.82
217.2,1661.033333,289.76,66.21
217.7,1677.8,292.46,67.08
217.4,1694.506667,287.77,70.05
218.0,1711.213333,289.33,73.09
218.3,1727.92,291.56,76.26
218.6,1744.806667,286.66,77.17
218.9,1761.693333,286.33,79.96
216.4,1778.58,287.99,80.34
218.0,1795.473333,289.54,81.59
216.0,1812.366667,287.99,82.27
218.3,1829.26,285.05,83.26
216.4,1846.63,286.65,85.87
216.7,1864.0,285.35,87.02
216.9,1881.37,287.17,88.17
216.7,1897.823333,286.63,91.16
217.8,1914.276667,283.16,93.38
217.0,1930.73,285.57,95.28
217.0,1947.4,288.05,96.29
216.5,1964.07,285.47,98.89
217.6,1980.74,288.79,99.17
218.4,1997.776667,284.0,99.74
217.8,2014.813333,286.84,102.68
216.7,2031.85,283.62,104.1
216.6,2049.556667,283.18,105.35
218.1,2067.263333,283.53,105.54
216.9,2084.97,281.58,106.71
219.0,2102.193333,283.65,109.17
216.5,2119.416667,284.15,113.3
217.1,2136.64,283.82,116.82
218.3,2153.993333,285.09,117.13
218.4,2171.346667,285.91,123.08
218.3,2188.7,281.36,125.26
216.9,2206.983333,284.43,136.34
218.0,2225.266667,282.8,150.66
217.8,2243.55,280.4,153.53
217.7,2260.54,282.3,154.06
217.3,2277.53,281.62,155.9
217.1,2294.52,273.07,169.7
218.6,2311.996667,280.24,170.51
217.6,2329.473333,277.86,176.54
218.3,2346.95,276.4,186.3
217.3,2366.986667,277.16,187.12
219.0,2387.023333,278.0,197.87
218.3,2407.06,276.46,198.07
217.3,2426.05,277.6,200.88
217.4,2445.04,276.81,208.74
216.9,2464.03,278.31,216.13
216.7,2482.973333,277.01,226.99
217.0,2501.916667,278.27,227.14
218.5,2520.86,277.36,255.93
216.5,2538.836667,276.32,260.26
217.1,2556.813333,276.66,268.11
216.9,2574.79,278.02,300.9
217.2,2592.536667,276.69,310.19
218.3,2610.283333,273.78,321.4
216.5,2628.03,271.11,340.54
217.5,2645.516667,275.07,346.58
217.7,2663.003333,279.36,359.01
216.3,2680.49,281.11,361.82
216.6,2698.623333,282.57,376.99
218.2,2716.756667,281.83,390.14
216.2,2734.89,283.53,400.35
217.8,2752.643333,283.95,420.32
217.8,2770.396667,283.12,448.47
216.6,2788.15,280.31,480.6
216.9,2804.983333,282.23,500.84
217.3,2821.816667,279.73,521.2
217.5,2838.65,279.7,539.14
218.0,2855.313333,280.91,559.67
216.0,2871.976667,278.36,601.15
217.7,2888.64,284.07,619.88
216.4,2906.75,281.58,642.55
216.4,2924.86,278.43,671.8
217.8,2942.97,282.2,690.49
216.4,2961.046667,282.41,698.73
219.2,2979.123333,283.69,739.05
217.4,2997.2,284.54,750.19
217.4,3016.216667,283.97,784.02
217.0,3035.233333,284.51,803.71
217.6,3054.25,282.84,834.39
217.1,3072.566667,283.09,850.59
216.7,3090.883333,282.84,879.8
216.4,3109.2,280.97,900.82
217.4,3127.056667,280.92,909.92
216.5,3144.913333,280.06,930.73
219.1,3162.77,279.8,932.42
216.7,3181.626667,278.74,967.35
216.7,3200.483333,277.41,992.35
217.9,3219.34,280.11,1035.87
216.8,3239.543333,279.42,1074.59
217.1,3259.746667,278.62,1127.67
216.4,3279.95,279.72,1156.9
217.0,3299.556667,279.29,1187.7
217.0,3319.163333,279.99,1219.57
217.6,3338.77,277.1,1248.75
218.3,3358.116667,278.45,1280.82
217.7,3377.463333,279.59,1313.0
217.1,3396.81,277.87,1335.48
217.6,3416.733333,276.2,1367.59
215.4,3436.656667,278.46,1392.53
216.0,3456.58,276.56,1398.38
216.8,3475.966667,276.79,1432.04
216.6,3495.353333,277.11,1461.87
216.5,3514.74,280.0,1513.06
215.5,3533.356667,279.13,1543.64
216.7,3551.973333,277.25,1565.77
217.4,3570.59,277.8,1592.67
216.8,3589.506667,281.69,1632.45
216.8,3608.423333,280.91,1654.4
217.6,3627.34,280.24,1675.56
217.0,3645.753333,278.31,1683.9
218.4,3664.166667,280.25,1709.4
217.3,3682.58,277.56,1775.47
218.0,3700.726667,278.07,1796.47
216.7,3718.873333,278.1,1814.0
217.8,3737.02,277.5,1846.0
218.3,3754.993333,277.4,1894.0
217.5,3772.966667,277.9,1920.0
217.3,3790.94,276.7,1949.0
216.9,3810.026667,278.0,1999.71
217.3,3829.113333,276.9,2093.36
216.6,3848.2,276.7,2234.24
218.7,3867.58,276.7,2265.55
218.4,3886.96,277.6,2414.32
218.3,3906.34,277.9,2526.12
218.4,3925.696667,273.9,2628.02
217.5,3945.053333,278.9,2708.48
218.8,3964.41,275.3,2801.76
218.6,3983.956667,274.7,2904.55
218.6,4003.503333,276.3,2948.82
217.5,4023.05,274.6,3056.6
216.8,4041.94,276.3,3255.73
216.5,4060.83,273.1,3283.66
218.0,4079.72,274.0,3431.12
217.8,4098.75,275.0,3528.29
217.1,4117.78,273.4,3644.46
216.6,4136.81,273.0,3693.41
217.5,4156.106667,271.5,3806.86
217.0,4175.403333,275.4,3856.17
217.6,4194.7,274.9,3968.95
217.6,4213.876667,271.7,4108.67
217.4,4233.053333,271.6,4205.84
218.1,4252.23,272.8,4275.08
218.4,4270.926667,271.5,4342.82
218.7,4289.623333,271.1,4494.36
216.0,4308.32,269.1,4592.82
216.6,4327.686667,269.8,4647.46
216.2,4347.053333,271.5,4773.0
218.1,4366.42,270.7,4921.2
216.7,4385.993333,269.3,4981.58
215.7,4405.566667,268.6,5086.79
217.9,4425.14,269.8,5218.57
216.7,4444.616667,267.6,5311.18
216.4,4464.093333,265.3,5357.55
218.2,4483.57,265.2,5533.29
216.8,4502.196667,267.6,5581.3
216.0,4520.823333,265.9,5757.61
217.5,4539.45,265.5,5852.26
217.2,4559.533333,260.7,5934.09
217.0,4579.616667,266.7,5999.38
217.3,4599.7,265.5,6089.81
217.5,4619.333333,263.2,6301.96
217.9,4638.966667,262.7,6337.21
216.4,4658.6,261.2,6401.24
218.8,4678.18,261.1,6572.29
217.6,4697.76,259.4,6682.55
217.2,4717.34,262.1,6769.65
217.6,4737.08,262.9,6880.31
216.8,4756.82,258.1,6970.08
218.4,4776.56,257.6,7038.27
218.3,4796.936667,262.3,7188.07
217.7,4817.313333,263.0,7274.01
218.1,4837.69,260.7,7405.32
218.5,4857.883333,258.4,7497.87
216.5,4878.076667,260.1,7661.37
218.9,4898.27,260.4,7719.59
218.8,4917.313333,259.7,7860.18
215.9,4936.356667,259.2,7926.37
218.6,4955.4,260.8,7975.85
